Market	Type	Geo	Buyer	Transactions	2010	2011	2012	2013	2014	2015	2016	2017	2018
Market	New	Ireland	Former_Owner_Occupier	VolumeSales(Number)	1381	752	966	1209	1882	2188	2766	3501	3893
Market	New	Ireland	Non-Occupier	VolumeSales(Number)	598	525	473	475	755	701	665	596	566
Market	New	Ireland	Non-Household	VolumeSales(Number)	326	400	419	529	986	1788	1667	2090	2801
Maket	Existing	Ireland	Former_Owner_Occupier	VolumeSales(Number)	4557	6223	8982	11116	15428	18091	17689	18795	19172
Maket	Existing	Ireland	Non-Occupier	VolumeSales(Number)	1706	2303	3338	4507	7770	8375	8162	8014	7252
Maket	Existing	Ireland	Non-Household	VolumeSales(Number)	343	444	991	1456	4604	4275	5217	5926	6809
NonMarket	New	Ireland	Former_Owner_Occupier	VolumeSales(Number)	171	150	143	114	152	150	156	184	190
NonMarket	New	Ireland	Non-Occupier	VolumeSales(Number)	267	186	129	125	129	141	101	84	51
NonMarket	New	Ireland	Non-Household	VolumeSales(Number)	63	116	56	207	128	229	180	58	78
NonMarket	Existing	Ireland	Former_Owner_Occupier	VolumeSales(Number)	3830	4295	4817	4063	3997	4200	4582	4748	5248
NonMarket	Existing	Ireland	Non-Occupier	VolumeSales(Number)	2166	2344	2388	1750	2055	2001	2027	2092	2152
NonMarket	Existing	Ireland	Non-Household	VolumeSales(Number)	177	272	400	431	804	675	530	711	588
