Dublin area,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dublin 1,1188.35,1097.56,975.68,984.43,984.34,987.49,1070.72,1156.24,1230.62,1309.99,1488.53,1520.6
Dublin 2,1411.05,1299.74,1171.38,1133.41,1177.38,1233.91,1309.02,1445.15,1578.64,1695.8,1825.13,2031.71
Dublin 3,1223.29,1097.71,974.01,935.07,946.03,989.09,1067.47,1160.82,1256.34,1352.58,1466.39,1567.49
Dublin 4,1561.22,1402.56,1284.84,1273.93,1297.08,1362.81,1475.98,1603.55,1699.76,1827.8,1973.27,2104.11
Dublin 5,1310.1,1193.23,1054.15,1014.18,1012.06,1036.51,1104.55,1184.91,1274.04,1374.93,1484.94,1591.9
Dublin 6,1143.18,1073.17,993.77,956.2,970.46,1011.76,1095,1198.43,1285.89,1371.14,1473.13,1574.48
Dublin 6W,1306.68,1210.99,1122.57,1089.74,1079.24,1134.7,1225,1319.35,1410.03,1519.54,1634.93,1703.45
Dublin 7,1071.6,996.66,909.09,857.51,843.53,875.74,955.66,1046.48,1123.66,1195.58,1282.38,1384.21
Dublin 8,1135.86,1041.55,939.2,907.84,917,962.8,1032.71,1121.05,1220.51,1335.83,1455.23,1542.32
Dublin 9,1202.1,1099.09,981.99,946.38,964.24,1053.54,1174.14,1273.12,1315.41,1378.31,1474.56,1553.16
Dublin 10,1118.12,1035.31,923.82,866.74,871.16,889.64,917.88,975.58,1044.8,1123.26,1245.48,1339.06
Dublin 11,1165.97,1053.78,942.53,895.28,903.57,923.29,993,1081.87,1170.91,1246.03,1360.61,1433.24
Dublin 12,1251.14,1132.53,1003.02,959.63,957.66,983.83,1054.87,1144.38,1238.77,1318.13,1395.63,1492.11
Dublin 13,1326.15,1187.55,1051.05,1033.12,1050.2,1085.49,1152.16,1243.58,1362.24,1492.27,1588.02,1644.94
Dublin 14,1541.74,1402.24,1262.32,1233.59,1263.8,1322.41,1426.33,1538.78,1661.5,1769.25,1863.5,1975.93
Dublin 15,1238.77,1122.47,999.58,955.76,954.66,984.48,1059.11,1158.76,1247.66,1333.41,1434.58,1516.76
Dublin 16,1433.66,1303.42,1174.68,1144.71,1145.32,1198.35,1287.91,1422.76,1546.53,1598.55,1714.82,1822.98
Dublin 17,1259.42,1118.03,984.99,939.9,923.07,941.23,1001.85,1076.95,1141.86,1225.67,1349.62,1424.32
Dublin 18,1511.56,1343.89,1210.08,1184.72,1200.5,1243.32,1350.17,1463.88,1589.39,1711.61,1789.76,1863.9
Dublin 20,1198.25,1095.13,975.94,931.16,923.32,958.96,1026.19,1112.97,1175.28,1256.16,1397.12,1454.83
Dublin 22,1136.34,1037.62,916.67,880.6,894.23,913.39,957.37,1028.89,1105.13,1180.39,1283.69,1377.27
Dublin 24,1201.83,1063.7,948.14,911.61,910.77,929.51,1005.85,1106.2,1159.01,1245.45,1345.85,1425.33
