City/Town,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Carlow Town,796.03,740.64,682.13,641.54,663.24,601.42,649.91,655.16,696.26,725.63,782.74,832.24
Cavan Town,598.44,546.55,454.32,456.64,454.95,442.92,454.56,485.6,528.59,566.34,594.77,632.71
"Shannon, Clare",758.08,682.78,598.46,585.81,553.82,558.77,569.18,572.47,608.31,657.1,700.16,737.61
Cork City,960.55,888.56,816.28,782.35,796.86,828.17,859.12,886.45,965.9,1042.93,1107.24,1174.58
Donegal Town,687.06,619.08,534.22,514.13,494.75,471.68,457.32,467.5,489.77,507.76,522.64,538.45
Dublin City,1269.84,1154.91,1036.34,1001.61,1008.62,1046.47,1124.68,1221.08,1310.82,1402.80,1514.87,1606.55
Galway City,922.63,841.84,800.96,790.08,796.89,805.85,837.69,889.51,963.92,1025.82,1097.98,1166.49
"Tralee, Kerry",668.66,660.43,601.29,580.53,565.53,549.47,558.07,579.34,597.59,621.53,660.2,706.12
Kildare Town,860.08,787.59,719.11,689.38,658.71,664.39,706.99,755.32,815.53,904.11,977.9,1012.41
"Naas, Kildare",1062.09,952.49,843.35,805.06,801.56,816.7,887.52,980.5,1065.04,1139.49,1201.12,1265.24
Kilkenny City,773.54,713.1,631.03,604.08,597.49,601.1,619.2,655.05,712.52,766.47,818.88,858.13
"Portlaoise, Laois",719.27,654.94,577.08,539.33,535.55,534.02,560.36,606.19,666.47,733.43,797.11,878.88
"Carrick-On-Shannon, Leitrim",563.82,510.98,441.54,410.73,397.28,406.17,429.39,453.17,485.55,517.08,536.74,557.57
Limerick City,806.12,709.53,646.95,634.28,621.31,614.51,629.94,670.81,730.76,795.82,889.19,967.28
Longford Town,543.03,510.31,435.21,416.93,406.06,397.93,409.44,429.31,474.45,524.82,567.05,604.93
"Drogheda, Louth",866.08,777.08,686.94,651.8,637.99,645.58,670.45,726.92,816.14,926.18,996.95,1044.32
"Castlebar, Mayo",665.5,645.24,588.39,554.33,532,521.85,525.28,533.36,557.4,588.77,633.72,684.58
"Drogheda, Meath",1037.85,908.99,791.56,750.16,742.5,753.29,784.54,852.77,941.59,1096.54,1168.34,1217.82
"Navan, Meath",828.64,753.58,667.87,636.15,617.04,619.64,655.54,727.85,818.17,902.49,992.45,1074.36
Monaghan Town,550,516.57,523.07,518.92,517.39,523.93,537.12,537.85,558.31,585.36,602.56,642.05
"Tullamore, Offaly",714.93,644.68,588.21,562.89,544.61,543.71,554.77,581.93,616,664.64,724.48,806.02
"Athlone, Roscommon",738.32,675.52,622.26,597.9,569.33,570.5,594.36,612.14,646.27,703.92,774.16,838.96
Sligo Town,610,593.61,568.8,567.93,557.56,562.07,593.7,615.39,623.08,648.33,681.53,741.75
Tipperary Town,635.29,558.35,528.52,514.92,502.47,476.69,490.23,495.8,500.31,525.19,564.25,594.94
Waterford City,693.24,653.43,596.77,595.81,580.5,568.09,566.28,584.75,627.77,684.01,748.89,806.04
"Athlone, Westmeath",697.37,661.66,628.49,617.79,583.93,589.19,591.72,723.36,670.35,701,764.66,827.1
"Enniscorthy, Wexford",674.83,629.38,580.08,558.21,538.42,523.56,525.6,532.87,557.16,582.84,617.98,655.79
Wicklow Town,974.37,919.37,855.94,793,761.59,757.87,808.23,855.48,918.53,992.4,1042.02,1070.4
