,day,year,level_2,Close
0,Friday,2014,Close,68.49160322580644
1,Friday,2015,Close,88.53423030303034
2,Friday,2016,Close,115.72472777777774
3,Friday,2017,Close,157.17517450980395
4,Friday,2018,Close,171.26785294117644
5,Friday,2019,Close,181.66186400000004
6,Friday,2020,Close,220.66532162162162
7,Monday,2014,Close,69.85161363636364
8,Monday,2015,Close,89.58274000000002
9,Monday,2016,Close,119.05047931034484
10,Monday,2017,Close,157.1554456521739
11,Monday,2018,Close,169.76747708333332
12,Monday,2019,Close,183.1745958333333
13,Monday,2020,Close,218.18527999999995
14,Saturday,2014,Close,70.18888888888888
15,Saturday,2015,Close,85.17199000000001
16,Saturday,2016,Close,107.16699999999999
17,Saturday,2017,Close,150.85833333333335
18,Saturday,2018,Close,164.16529411764705
19,Saturday,2019,Close,174.42235294117643
20,Saturday,2020,Close,207.76500000000001
21,Thursday,2014,Close,67.92407631578949
22,Thursday,2015,Close,89.39300833333334
23,Thursday,2016,Close,115.70825
24,Thursday,2017,Close,156.60003461538457
25,Thursday,2018,Close,171.19985384615387
26,Thursday,2019,Close,181.254268627451
27,Thursday,2020,Close,221.25652307692306
28,Tuesday,2014,Close,68.33860789473685
29,Tuesday,2015,Close,90.05133571428573
30,Tuesday,2016,Close,119.03752941176471
31,Tuesday,2017,Close,156.0809411764706
32,Tuesday,2018,Close,172.1043235294118
33,Tuesday,2019,Close,181.2282584905661
34,Tuesday,2020,Close,221.8080564102564
35,Wednesday,2014,Close,68.70482285714286
36,Wednesday,2015,Close,89.31364516129032
37,Wednesday,2016,Close,116.6184757575758
38,Wednesday,2017,Close,156.21341346153844
39,Wednesday,2018,Close,171.46833725490194
40,Wednesday,2019,Close,180.84679411764705
41,Wednesday,2020,Close,222.241515
