,monthN,year,level_2,Close
0,April,2014,Close,59.49
1,April,2015,Close,81.66
2,April,2016,Close,116.01
3,April,2017,Close,149.8755
4,April,2018,Close,171.8
5,April,2019,Close,193.35
6,April,2020,Close,206.1537
7,August,2014,Close,74.55
8,August,2015,Close,90.25
9,August,2016,Close,125.7735
10,August,2017,Close,171.9001
11,August,2018,Close,175.37
12,August,2019,Close,183.71
13,August,2020,Close,293.2
14,December,2014,Close,79.665
15,December,2015,Close,105.2864
16,December,2016,Close,115.17
17,December,2017,Close,176.4
18,December,2018,Close,130.19
19,December,2019,Close,204.52
20,February,2014,Close,68.98
21,February,2015,Close,80.56
22,February,2016,Close,107.25
23,February,2017,Close,135.63
24,February,2018,Close,182.3
25,February,2019,Close,161.5
26,February,2020,Close,193.69
27,January,2014,Close,61.08
28,January,2015,Close,76.0
29,January,2016,Close,112.15
30,January,2017,Close,130.76
31,January,2018,Close,188.84
32,January,2019,Close,167.005
33,January,2020,Close,201.9547
34,July,2014,Close,75.31
35,July,2015,Close,95.92
36,July,2016,Close,125.39
37,July,2017,Close,170.0763
38,July,2018,Close,172.68
39,July,2019,Close,197.4
40,July,2020,Close,252.51
41,June,2014,Close,67.6
42,June,2015,Close,86.6
43,June,2016,Close,111.62
44,June,2017,Close,151.36
45,June,2018,Close,194.32
46,June,2019,Close,190.5
47,June,2020,Close,219.754
48,March,2014,Close,60.88
49,March,2015,Close,82.91
50,March,2016,Close,114.355
51,March,2017,Close,142.4465
52,March,2018,Close,160.55
53,March,2019,Close,166.01
54,March,2020,Close,168.0046
55,May,2014,Close,63.06
56,May,2015,Close,79.19
57,May,2016,Close,119.52
58,May,2017,Close,151.63
59,May,2018,Close,187.55
60,May,2019,Close,178.26
61,May,2020,Close,223.549
62,November,2014,Close,77.47
63,November,2015,Close,104.01
64,November,2016,Close,118.51
65,November,2017,Close,177.5
66,November,2018,Close,138.03
67,November,2019,Close,202.9067
68,October,2014,Close,74.02
69,October,2015,Close,101.99
70,October,2016,Close,132.86
71,October,2017,Close,180.4932
72,October,2018,Close,155.7
73,October,2019,Close,191.85
74,September,2014,Close,79.37
75,September,2015,Close,86.039
76,September,2016,Close,127.89
77,September,2017,Close,169.7
78,September,2018,Close,167.19
79,September,2019,Close,178.31
80,September,2020,Close,261.5
