ageGroup,sex,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0  - 01,male,55427,56528,57720,59496,57359,58309,58649,59584,59994,61005,59899,60032,59476
0  - 01,female,52330,53136,54400,56414,54755,55178,55359,56296,55884,58018,56715,56807,55907
01 - 04,male,214167,219459,224106,229435,234266,236414,238845,240600,241790,246387,249946,251004,250091
01 - 04,female,203381,207859,211996,216443,220989,223682,226166,227677,228550,231631,235484,236655,236244
05 - 09,male,244531,250677,258574,264448,272248,279307,286732,293755,302956,309001,314886,318534,320985
05 - 09,female,231707,238058,245360,251209,258689,264686,271218,277859,286162,291852,297294,300939,303099
10 - 14,male,276450,265004,255238,250333,249905,253966,261331,270418,278135,289269,298557,306645,313352
10 - 14,female,263740,251681,242048,237181,236059,240317,247801,255844,263672,273831,281896,289113,295667
15 - 19,male,327748,329731,328011,318174,304768,290790,280793,273055,271022,276575,286062,293802,296072
15 - 19,female,309280,311677,310522,300431,287608,273837,262834,254181,251450,253037,258776,265711,272837
20 - 24,male,285371,296806,309505,323001,332889,341574,343988,344583,338198,331021,319535,311168,310624
20 - 24,female,272155,283529,295948,309015,317973,325579,327952,326946,318250,309158,297384,286425,277075
25 - 29,male,283544,288322,293280,299224,305922,311854,322761,335238,348983,365217,377368,380948,379985
25 - 29,female,270908,274567,278479,282699,289214,297206,308494,320517,333430,346470,356635,360374,359711
30 - 34,male,302586,298624,296143,297392,299040,302237,306955,312360,318006,330321,340535,354455,367181
30 - 34,female,290615,286613,283926,284477,286071,289250,293034,297018,301065,310855,321958,335686,348710
35 - 39,male,318507,318390,322241,321984,318113,313690,309885,308109,310663,315589,321544,328012,333895
35 - 39,female,307985,308321,312257,311898,307835,303087,299027,296259,297907,301728,306649,312107,316703
40 - 44,male,343590,343994,337930,331587,327593,324499,324689,329565,330868,329405,326651,323915,321942
40 - 44,female,328097,330256,325130,320639,318120,316197,316510,320549,321076,318411,315024,311921,309321
45 - 49,male,299074,305243,315776,327013,337234,345039,346209,341083,336401,334272,332859,333690,338208
45 - 49,female,289554,294956,305370,315514,325177,332451,334920,329661,326022,324719,323818,324649,328884
50 - 54,male,294295,293908,295746,295588,295296,297800,304344,315278,327170,338866,347535,349187,344164
50 - 54,female,288507,288162,289390,289145,289206,290908,296231,306766,317295,327818,335765,338662,333591
55 - 59,male,299924,294055,288996,286697,288780,289475,289530,291556,292291,292812,295905,302734,313351
55 - 59,female,298338,291851,286358,284742,285657,286711,286505,287752,287903,288606,290709,296233,306757
60 - 64,male,312190,315134,312140,306094,297392,290593,285139,280372,278590,281162,282290,282697,284848
60 - 64,female,310513,314725,313315,308051,300029,292974,286756,281590,280057,281260,282417,282369,283542
65 - 69,male,224497,238703,255340,272556,287651,295656,298911,296189,290875,282774,276584,271523,267106
65 - 69,female,229989,243118,258417,275129,290812,300275,304445,302949,298056,290492,283808,277788,272942
70 - 74,male,166863,173080,180700,186833,193710,205273,218880,234581,250497,264573,272290,275471,273394
70 - 74,female,186971,192032,197874,202782,207722,217320,229950,244676,260672,275338,284194,288177,287021
75 - 79,male,135982,135071,135418,136309,138935,142400,148372,155541,161294,167768,178446,190937,205253
75 - 79,female,173149,169964,168643,166733,167620,169211,173932,179540,184183,189018,198154,209682,223345
80 - 84,male,101028,100414,100039,100441,100792,101818,101735,102596,104170,106917,110252,115206,121578
80 - 84,female,149642,148190,146170,145246,144099,143362,140953,140328,139009,140113,141869,146321,151472
85_+,male,78147,80567,82111,83639,84941,85211,86609,87777,89063,90413,91518,92478,94309
85_+,female,162145,163942,166065,167578,168386,167757,168420,168707,169408,169451,169031,168128,168947
