Länsnamn,Population2018,PopDDkm2_16,Population17,Landkm2_16,Rural,Urban,Population16,Urban_16pct,Rural_16pct
Blekinge,133465,54.1,158453,2931.1,26014,130239,156253,83.35,16.65
Dalarna,237702,10.2,284531,28029.47,49094,231934,281028,82.53,17.47
Gotland,37225,18.5,58003,3134.98,21746,35645,57391,62.11,37.89
Gävleborg,229523,15.7,284586,18118.44,55752,226063,281815,80.22,19.78
Halland,264403,59,320333,5427.04,49599,265185,314784,84.24,15.76
Jämtland,94173,2.6,128673,48935.42,36700,90676,127376,71.19,28.81
Jönköping,303339,33.8,352735,10436.68,56253,291584,347837,83.83,16.17
Kalmar,195993,21.7,242301,11164.69,48827,188852,237679,79.46,20.54
Kronoberg,158923,23.1,194628,8424.33,40846,150523,191369,78.66,21.34
Norrbotten,207259,2.6,250570,97238.87,43355,206378,249733,82.64,17.36
Skåne,1233703,120.8,1324565,10967.83,126517,1177110,1303627,90.3,9.7
Stockholm,2272978,347.8,2269060,6524.13,71383,2160056,2231439,96.8,3.2
Södermanland,250200,47.4,288097,6075.07,44300,239412,283712,84.39,15.61
Uppsala,309844,44.1,361373,8189.62,65364,288800,354164,81.54,18.46
Värmland,213764,15.9,279334,17518.8,67022,208882,275904,75.71,24.29
Västerbotten,215187,4.9,265881,54664.6,54395,208983,263378,79.35,20.65
Västernorrland,195445,11.4,245572,21548.74,50692,193205,243897,79.22,20.78
Västmanland,241019,52.3,267629,5117.69,31022,233254,264276,88.26,11.74
Västra Götaland,1494727,70.2,1671783,23799.85,227780,1420902,1648682,86.18,13.82
Örebro,255496,34.7,294941,8504.39,46802,244210,291012,83.92,16.08
Östergötland,395265,42.8,452105,10559.43,65040,380621,445661,85.41,14.59
